시군구,행정동,정류장번호(ID),정류장명,상세위치,위도,경도,정류장설치유형,시내버스_경유노선번호,시외버스_경유노선번호,레드존여부,중앙차로여부,미세먼지 측정센서 설치여부,와이파이설치여부,안전비상벨설치여부,버스정보안내단말기(BIT) 유형,의자설치유형,바람막이설치여부,냉온풍기설치여부,공기청정기설치여부
성남시,백현동,7577,백현마을4단지,판교휴먼시아백현마을4단지,37.390750 ,127.113200 ,쉘터형,"71(마을),66(마을),누리2(시내),390(시내)",해당없음,N,N,N,Y,N,LCD(가로형 32''),일반의자,N,N,N
성남시,삼평동,7578,웰츠타워,휴먼시아엔파트봇들마을7단지A건너,37.397700 ,127.112750 ,쉘터형,"107(마을),누리2(시내),6003(시내),310(시내),370(시내),55(시내),4000(시내)",해당없음,N,N,N,N,N,LCD(가로형 32''),일반의자,N,N,N
성남시,백현동,7579,백현동행정복지센터,판교휴먼시아7단지A,37.388067 ,127.109717 ,쉘터형,602-1A(마을),해당없음,N,N,N,N,N,LED(3단6열),일반의자,N,N,N
성남시,삼평동,7580,판교호반써밋플레이스,휴먼시아엔파봇들마을7단지A,37.397983 ,127.113133 ,쉘터형,"누리2(시내),4000(시내),55(시내),370(시내),310(시내)",해당없음,N,N,N,Y,N,LCD(가로형 32''),일반의자,N,N,N
성남시,운중동,7581,한빛교회.월든힐스아파트,한빛교회건너,37.392050 ,127.063967 ,쉘터형,"220(시내),341(시내),9003(시내),103(시내),9007(시내),9004(시내),350(시내)",5000판교-인.공(시외),N,N,N,N,N,LED(3단6열),일반의자,N,N,N
성남시,운중동,7582,한빛교회.월든힐스아파트,한빛교회 ,37.392133 ,127.064100 ,쉘터형,"350(시내),9004(시내),341(시내),103(시내),9007(시내),9003(시내),220(시내)",5000판교-인.공(시외),N,N,N,N,N,LCD(가로형 32''),일반의자,N,N,N
성남시,운중동,7583,산운마을12단지,산운마을12단지,37.389600 ,127.071950 ,쉘터형,75(마을),해당없음,N,N,N,N,N,LED(3단6열),일반의자,N,N,N
성남시,운중동,7587,국은교앞,주공A앞,37.388883 ,127.075300 ,쉘터형,"1007-1(시내),4500(시내),32(마을),9409(서울),9507(시내),4000(시내),73(마을),340(시내)",해당없음,N,N,N,N,N,LCD(가로형 32''),일반의자,N,N,N
성남시,운중동,7588,국은교앞,주공A건너,37.388833 ,127.075533 ,쉘터형,"340(시내),32(마을),4000(시내),1007-1(시내),73(마을),9507(시내),4500(시내)",해당없음,N,N,N,N,N,LED(5단16열),일반의자,N,N,N
성남시,야탑3동,7589,청구빌라앞,청구빌라604동,37.412883 ,127.139967 ,지주형,"250(시내),1005(시내),300(시내),103(시내)",해당없음,N,N,N,N,N,LED(3단6열)(양면),미설치,N,N,N
성남시,운중동,7591,기숙사,석운로62번길앞,37.370150 ,127.049700 ,기타,누리3(시내),해당없음,N,N,N,Y,N,미설치,미설치,N,N,N
